Main type,Type Number,"War
Number",War Name,Time Span,Locations,State Participants
INTRA,4,8010,Portuguese vs. Latin American patriots,1816-1817,Uruguay,Portugal
INTER,1,8000,Egypt vs. Wahabis,1816-1818,Saudi Arabia,"Egypt, Saudi Arabia"
INTER,1,500,Russia vs. Georgians,1816-1825,Georgia,"Russia, Georgia (Kingdom of Kartli-Kakheti)"
INTER,1,301,British-Mahrattan,1817-1818,India,"United Kingdom, Maratha Empire"
INTER,1,302,British-Kandyan,1817-1818,Sri Lanka,"United Kingdom, Sri Lanka (Kingdom of Kandy)"
INTRA,4,8020,Spanish vs. Mexican nationalists,1817-1818,Mexico,Spain
INTRA,4,8030,Chilean war of independence,1817-1818,Chile,Spain
INTRA,6,6000,Xhosa Civil War,1818-1818,South Africa,Xhosa
INTRA,4,8060,Bolivar vs. Royalists,1818-1823,"Colombia, Ecuador, Venezuela",Spain
INTRA,6,8040,Durrani succession wars,1818-1826,Afghanistan,Afghanistan (Durrani Kingdom)
INTER,2,8050,Dahomey's expansion,1818-1840,Benin,"Benin (Kingdom of Dahomey), Oyo"
INTRA,6,8090,Shaka vs. Zulu clans,1819-1828,South Africa,Zulu Kingdom
INTER,1,8100,Egypt's conquest of Sudan,1820-1820,Sudan,"Egypt, Sudan (Kingdom of Sinnar)"
INTRA,6,501,Two Sicilies vs. Anti-Monarchists,1820-1821,Italy,"Austria-Hungary, Two Sicilies"
INTRA,6,503,Sardinia vs. Sardinian Rebels,1821-1821,Italy,"Austria-Hungary, Italy"
INTER,2,303,Turko-Persian,1821-1823,Turkey,"Turkey, Iran"
INTRA,6,502,Spain vs. Royalists,1821-1823,Spain,Spain
INTRA,4,504,Ottoman Empire vs. Greeks,1821-1828,Greece,Turkey
INTRA,3,7000,Revolt in Kashgaria,1822-1828,China,China
INTER,2,1,Franco-Spanish,1823-1823,"France, Spain","France, Spain"
INTER,1,305,British-Burmese of 1823,1823-1826,"India, Myanmar","United Kingdom, Myanmar"
INTRA,4,8110,Bolivia's war of independence,1824-1824,Bolivia,Spain
INTRA,4,8120,Spain vs. Latin American patriots,1824-1824,Peru,Spain
INTER,1,306,British-Ashanti of 1824,1824-1826,Ghana,"United Kingdom, Ashanti Kingdom"
INTER,1,309,British-Bharatpuran,1825-1826,India,"United Kingdom, Kingdom of Bharatpur"
INTRA,4,8130,Argentinian-Brazilian,1825-1828,Uruguay,"Argentina (United Provinces of Rio de la Plata), Brazil"
INTRA,4,307,Dutch-Javanese,1825-1830,Indonesia,Netherlands
INTRA,6,505,Ottoman Empire vs. Janissaries,1826-1826,Turkey,Turkey
INTER,2,310,Russo-Persian,1826-1828,"Armenia, Georgia, Iran","Russia, Iran"
INTRA,3,8140,Thailand vs. Siamese rebels,1826-1828,"Laos, Thailand",Thailand
INTER,2,8160,Bolivia vs Peru,1827-1829,Peru,"Bolivia, Peru"
INTER,2,4,Russo-Turkish,1828-1829,"Russia, Turkey","Russia, Turkey"
INTRA,6,8150,Argentine Unitarian-Federalist,1828-1831,Argentina,Argentina
INTRA,6,507,Portugal vs. Conservatives,1829-1834,Portugal,"Portugal, United Kingdom"
INTER,1,508,Russia vs. Circasians,1829-1840,Russia,Russia
INTRA,6,510,France vs. Liberals,1830-1830,France,France
INTRA,4,509,Netherlands vs. Belgians,1830-1831,Belgium,"France, Netherlands, United Kingdom"
INTRA,5,511,Ottoman Empire vs. Albanians,1830-1831,Macedonia,Turkey
INTRA,4,512,Russia vs. Poles of 1831,1831-1831,Poland,Russia
INTER,2,513,Ottoman Empire vs. Egyptians,1831-1832,Syria,"Turkey, Egypt"
INTER,2,8170,Thailand vs. Cambodia,1831-1834,"Cambodia, Vietnam","Thailand, Cambodia"
INTRA,6,514,Mexico vs. Liberals of 1832,1832-1832,Mexico,Mexico
INTRA,5,515,Spain vs. Carlists of 1834,1834-1840,Spain,"France, Portugal, Spain, United Kingdom"
INTER,1,8190,Bolivia vs. Peru ,1835-1835,Peru,"Bolivia, Peru"
INTRA,4,517,Mexico vs. Texans,1835-1836,"Mexico, United States of America",Mexico
INTRA,6,516,Brazil vs. Farrapos,1835-1845,Brazil,Brazil
INTER,2,8200,Afghanistan vs. Sikh,1836-1836,Pakistan,"Afghanistan (Durrani Kingdom), Kingdom of Lahore"
INTRA,3,518,Ottoman Empire vs. Bosnians of 1836,1836-1837,Bosnia and Herzegovina,Turkey
INTRA,3,5060,Boers vs. Matabele,1836-1837,South Africa,Boer state
INTER,2,8210,Iran vs. Afghanistan ,1838-1838,Afghanistan,"Iran, Afghanistan "
INTER,1,311,British-Zulu of 1838,1838-1840,South Africa,"United Kingdom, Zulu"
INTER,2,313,British-Afghan of 1838,1838-1842,Afghanistan,"United Kingdom, Afghanistan"
INTER,1,314,Russo-Khivan,1839-1839,Uzbekistan,"Russia, Khanate of Kiva"
INTER,2,8220,War of the Bolivian confederation,1839-1839,Peru,"Peru-Bolivia, Chile, Argentina"
INTER,2,519,Ottoman Empire vs. Mehmet Ali,1839-1840,Lebanon,"Turkey, United Kingdom"
INTER,1,315,First Opium,1839-1842,China,"United Kingdom, China"
INTRA,6,8230,Colorados vs. Blancos,1839-1842,Uruguay,Uruguay
INTER,1,317,Franco-Algerian of 1839,1839-1847,Algeria,"France, Algeria (Barbary states)"
INTRA,6,521,Colombia vs. Progressives,1840-1842,Colombia,Colombia
INTER,2,318,Peruvian-Bolivian,1841-1841,Bolivia,"Peru, Bolivia"
INTRA,3,523,Ottoman Empire vs. Bosnians of 1841,1841-1841,Bosnia and Herzegovina,Turkey
